Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Wasserman,Avi ",BA at MCGILL ; MD at TORONTO ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Waters,Deb ","BN Western, MD McMaster ",Family Medicine - General ,,Adjunct/MD ,
"Wathen,C.Nadine ","BA Dalhousie; MA, Ph.D. Western; ",Info & Media Studies - General ,,Associate Professor ,
"Wathen,C.Nadine ","BA Dalhousie; MA, Ph.D. Western; ",Womens' Studies ,,Associate Professor ,
"Watling,Christopher John ",FRCP MD at DALHOUSIE ,Clinical Neurological Science/Oncology/Schulich - Office of th ,,eAssociate Professor/MD ,
"Watling,Mark ",BS MD MD FRCPsych at DALHOUSIE ,Psychiatry ,,Assistant Professor/MD ,Course Coordinator 
"Watson,Andrew J. ",BSc MSc at MANITOBA ; Ph.D. at Western ,Obstetrics & Gynaecology/Physiology/Schulich - Office of the ,,Professor ,"Associate Dean (Grad,PostDoc) "
"Watson,David L. ",BA Ontario ,Education - Preservice Office ,,Lecturer ,
"Watson,James T ",FRCPCan MD at Western ; BSc at WINDSOR ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Watson,Kevin E ",BMUS Queen's; DMU Indiana ,Music - Office of the Dean ,,Assistant Professor ,
"Watson,Patricia H ",Ph.D. at Western ; BSc at WLU ,Physiology and Pharmacology ,,Adjunct Research Professor ,
"Watson,Ronald C ","BA, BPE McMaster; MSc Alberta; Ph.D. Wisconsin; ",Kinesiology-Office of Director ,,Associate Professor ,
"Watson,Rosalie ","BA, BPE McMaster; MSc Alberta; Ph.D. Wisconsin; ",Nursing ,,Lecturer ,
"Watt,Stephen ","BSc New Brunswick; MMATH, Ph.D. Waterloo; ",Applied Mathematics/Mathematics/Computer ,,Professor ,Department Chair 
"Watterud,Donna ","Degree, MD Queen's U ",Family Medicine - General ,,Adjunct/MD ,
"Waugh,Jennifer ","BHS, MS Queen's ",Department of Biology ,,Lecturer ,
"Waxman,Stephanie ","BHS, MS Queen's ",Nursing ,,Lecturer ,
"Way,Danielle A ","BS, Univ of Toronto; Ph.D. Univ of Toronto ",Department of Biology ,,Assistant Professor ,
"Wearring,George A ",BA ; MS Southern California; Ph.D. Michigan; ,Health Sciences- Dean's Office ,,Professor Emeritus ,
"Weaver,Lynne C. ",BA/Doctorate USA ,Physiology and Pharmacology ,,Adjunct Professor/Professor Emeritus ,
"Webb,Elizabeth ","BA Ontario, Ph.D. Western ",Earth Sciences ,,Associate Professor ,
"Webb,Emily Catherine ","BS, Laurentian Univ; Ph.D. Western ",Anthropology ,,Assistant Professor ,
"Webb,Terry Ann ","BA, MA Ontario ",Anthropology ,,Lecturer ,
"Webber,Robert E ",Ph.D. Maryland USA ,Computer Science ,,Associate Professor ,
"Weber,Linda ","BA, Univ of Toronto; M.Ed., Western; Ph.D., Western ",Education - Graduate Education ,,Assistant Professor ,
"Webster,Alan R ","BA, Ph.D. UK ",Electrical & Computer ,,Professor Emeritus ,
"Webster,Todd M ","BCOM, MD Queen's Univ ",Surgery/Schulich - Education Office ,,Adjunct/MD ,
"Weerasinghe-Seijts,Jana Mihiri ",BA/MA Ontario ,Business - Associate Dean ,,Lecturer ,
"Weese,Jim ","BHK, MHK Windsor; Ph.D. Ohio State ",Health Science - Dean's Office ,,Professor ,Dean 
"Wehlau,Amelia Faye ","BA, Ph.D. California; ",Physics and Astronomy ,,Professor Emerita ,
"Wehrli,Bret ",MD at TORONTO ; FRCPath at UBC ,Pathology ,,Associate Professor/MD ,
"Weijer,Charles ",Ph.D. McGill ,Department of Medicine/Epidemiology and Biostatistics ,,Professor ,
"Weijer,Charles ",Ph.D. McGill ,Philosophy ,,Professor ,
"Weil,Mary Catharine ",MA Western ,Business - Associate Dean ,,Lecturer ,
"Weinberger,Sergio Juan ",Masters ON; Professional Mexico ,Dental Clinics ,,Adjunct Clinical Professor ,
"Weingert,Michael E. ","Professional, Bachelors Canada ",Department of Medicine ,,Adjunct/MD ,
"Weir,Matthew ",BSc McMaster U; MD Queen's U ,Department of Medicine ,,Assistant Professor/MD ,
"Weir,Michele ",MD FRCPath at Queen's ,Pathology ,,Associate Professor/MD ,
"Weis,Anthony ",BA Wilfrid Laurier; MA Waterloo-Wilfrid Laurier; Ph.D. Queen's; ,Geography ,,Associate Professor ,
"Weiser,Margaret ",Ph.D. ,Psychology ,,Adjunct Clinical Professor ,
"Welch,Ian David ","DVM, Univ of Guelph ",Physiology and Pharmacology ,,Adjunct Research Professor ,
"Welch,Stephen ",FRCPCan BSc MD at MANITOBA ,Oncology ,,Assistant Professor/MD ,
"Welisch,Eva ",MD at BERLIN FREIE ,Paediatrics ,,Assistant Professor/MD ,Academic Director 
"Welk,Blayne Kauli ","BS, MD Western ",Surgery ,,Assistant Professor/MD ,
"Welling,Bruce L ",BSc RMC; LLB Western; OF THE LAW SOCIETY OF UPPER CANADA ; LLM London; Ph.D. Bond; ,Law - Office of the Dean ,,Professor ,
"Wells,Jennie L ",MS BS MD at CONNECTICUT ,Department of Medicine ,,Associate Professor/MD ,
"Wells,Samantha Lynn ","BA U of New Brunswick; MA, Ph.D. Western ",Epidemiology and Biostatistics ,,Adjunct Assistant Professor ,
"Werstine,Melanie ","BS, Waterloo Univ; MPT, Western ",Physical Therapy ,,Lecturer ,
"Werstine,Paul ","BA Ontario, Ph.D. USA ",English ,,Adjunct Professor ,
"Werth,Elizabeth ",,Psychology ,,Adjunct Clinical Professor ,
"Wesch,Natascha Nycol ","BA, QC; MA, ON; Ph.D. Western ",Kinesiology-Office of Director/School of Health Studies ,,Assistant Professor ,
"Westen,Evelyn ","BS, Carleton Univ ",Family Medicine - General ,,Adjunct/MD ,
"Westmacott,Martin W ",BA Calgary; MA Carleton; Ph.D. Alberta; ,Political Science ,,Associate Professor ,
"Weston,Walter Wayne ",CCFP FCFPC MSc at DALHOUSIE ; BSc MD at TORONTO ; MClSc at Western ,Family Medicine ,,Professor Emeritus ,
"Weststar,Johanna ","BA, McMaster Univ; MA, Queen's Univ; Ph.D., Univ of Toronto ",Bachelor of Mgmt & Org Studies ,,Assistant Professor ,
"Wetmore,Stephen J ",FRCPCan BA MD at Western ,Family Medicine ,,Professor/MD ,Clinical Department Chair 
"Wexler,H Ronald ",MD at TORONTO ; MS at Western ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Wey,Lois Margaret ",BSW Western; MSW Wilfrid Laurier ,Education - Graduate Education ,,Lecturer ,
"Whalley,John ","BA, MA Essex; MA, MPHIL, Ph.D. Yale; FRSC ; ",Economics ,,Professor ,
"Wheeler,James Kevin ","BSc Honours, Western ",Family Medicine - General ,,Adjunct/MD ,
"Whelan,Barbara ","BSc, Univ of New Brunswick; MD, Dalhousie Univ ",Psychiatry ,,Adjunct/MD ,
"Wherry,Keescha ","BScN, Univ of Toronto ",Nursing ,,Lecturer ,
"Whippey,Caroline ","BA and MAR, Western ",Info & Media Studies - General ,,Lecturer ,
"Whippey,Patrick W ","BSc, BEd, MSc Acadia; Ph.D. McGill; ",Physics and Astronomy ,,Professor Emeritus ,
"Whitby,Peter Lyndall ",MBChB at BIRMINGHAM ; BA (Hon) at CAMBRIDGE ; MD at Western ,Family Medicine - General ,,Adjunct/MD ,
"White,Andrea Alison ",BSc at GUELPH ; MD FRCPCan at Western ,Obstetrics & Gynaecology ,,Assistant Professor/MD ,
"White,Angela ",BA Dalhousie; MART Western ,Philosophy ,,Lecturer ,
"White,Barry William ",BSc at GUELPH ; DDS at Western ,Graduate Orthodontics ,,Adjunct Clinical Professor ,
"White,Bethany JG ","BSc Acadia NS, Ph.D. Waterloo ON ",Statistics & Actuarial Science ,,Assistant Professor ,
"White,Christine D ","BSc, MA Trent; Ph.D. Toronto; Canada Research Chair; ",Anthropology ,,Professor ,
"White,David J. ","BA, Professional GBR ",Pathology/Surgery ,,Professor ,
"White,Frederick Albert ","BA, MD Western ",Department of Medicine ,,Adjunct/MD ,
"White,James Alexander ",BSc MD FRCP FRCP at Western ,Department of Medicine/Robarts - Imaging ,,Assistant Professor/MD ,
"White,Jerry P ","BA Saskatchewan; MA, Ph.D. McMaster; ",Soc Science - Office of Dean ,,Professor ,Associate Dean (Acad Programs) 
"White,John Richard ","HBA, MBA Western ",Bachelor of Mgmt & Org Studies ,,Lecturer ,
"White,Robert W ","BSc, MBA BC; Ph.D. MIT; ",Business - Associate Dean ,,Professor Emeritus ,
"White,Roderick E ","BA Western; DBA, MBA Harvard; ",Business - Associate Dean ,,Associate Professor ,
"White,Sharon Ann ","BSN, Western; MBA, Western ",Nursing ,,Adjunct Assistant Professor ,
"Whitehead,Oliver ","BA USA, Ph.D. Ontario ",Modern Languages & Literatures ,,Assistant Professor ,
"Whitehead,Paul C ","AB Providence College; MA, Ph.D. Massachusetts; ",Sociology ,,Professor ,
"Whitehead,Sarah ",BS Otago School of Dentistry NZL ,Dental Clinics ,,Adjunct Clinical Professor ,
"Whitehead,Shawn Narain ","BS, Ph.D. Western ",Anatomy & Cell Biology/Clinical Neurological Science ,,Assistant Professor ,
"Whiteye,Patricia ",BS Trent U; MED Western ,Education - Preservice Office ,,Lecturer ,
"Whittle,Heather Woods ","BA, MA Ontario ",Nursing ,,Assistant Professor ,
"Whynot,Andrew Scott ",MD Univ of Torontooronto ,Family Medicine - General ,,Adjunct/MD ,
"Whyte,Heather ","Professional Designation, MA Ontario ",Nursing ,,Adjunct Assistant Professor ,
"Wickett,Jamie Anne ",BSc/MD UBC ,Family Medicine - General ,,Assistant Professor/MD ,
"Wickett,Miranda Christine ",BS Trent U; MED Western ,Music - Dance ,,Lecturer ,
"Widmeyer,Constance ","BSN, Ryerson Univ ",Nursing ,,Lecturer ,
"Wiebe,Allison Nicole ",BMus Brandon; MMus ,Music - Performance Studies ,,Lecturer ,
"Wiebe,Arthur George ",BSc at BROCK ; MD at OTTAWA ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Wiebe,John ","BSc, Ph.D. British Columbia; ",Department of Biology ,,Adjunct Research Professor/Professor Emeritus ,
"Wiebe,Thomas ","BMUS Eastman; DMA, MMUSA Yale; ",Music - Office of the Dean ,,Associate Professor ,
"Wiebenga,Marjie Lynne ",MD Univ of Torontooronto ,Family Medicine - General ,,Adjunct/MD ,
"Wieczorek,Todd ",BMus Wheaton; MMus Kansas; DM in progress Indiana; ,Music - Office of the Dean ,,Assistant Professor ,
"Wiegersma,Willem Sietse ","BSc, MBA BC; Ph.D. MIT; ",Nursing ,,Assistant Professor ,
"Wiegert,Paul ","BA BC, Ph.D. Univ of Toronto ",Physics and Astronomy ,,Associate Professor ,
"Wiens,Sandra Elaine ",BSN McMaster; MSN Western ,Nursing ,,Lecturer ,
"Wiesenthal,Naomi L ",BA Queen's Univ; Ph.D. U of N. Carolina ,Psychology ,,Adjunct Clinical Professor ,
"Wightman,Robert W ","BA, MA ; Ph.D. Durham; ",Geography ,,Professor Emeritus ,
"Wild,Geoff ","BSc Trent ON, Ph.D. Queen's Univ ",Applied Mathematics ,,Assistant Professor ,
"Wiles,Andrew Donald ",MS U of Waterloo; Ph.D. Western ,Medical Biophysics ,,Adjunct Assistant Professor ,
"Wilk,Piotr ","BA, Ph.D. Western ",Paediatrics ,,Assistant Professor ,
"Wilkinson,Fiona ","BMUS, MMUS Toronto; ",Music - Office of the Dean ,,Associate Professor ,
"Wilkinson,Margaret Ann ","BA, LLB, MLS Toronto; OF THE LAW SOCIETY OF UPPER CANADA, Ph.D. Western; ",Law - Office of the Dean ,,Professor ,
"Williams,Chris ","BS U of Durham GBR; Ph.D. U of London, GBR ",Business - Associate Dean ,,Assistant Professor ,
"Williams,Colin H ","BSc U of Wales, Ph.D. U of Wales ",Geography ,,Adjunct Professor ,
"Williams,Robert ","BA, Western; MFA, Western ",Visual Arts ,,Lecturer ,
"Williamson,Peter Charles ",FRCPCan DPsych at TORONTO ; MD at Western ,Department of Medical Imaging/Medical Biophysics/Clinical ,,Professor/MD ,
"Willis,Christopher J ",Ph.D. GBR ,Chemistry ,,Professor Emeritus ,
"Willis,Neil R ",FRCSCan MD MSc at Western ,Ophthalmology ,,Professor Emeritus ,
"Willits,Kevin R. ",MD at MCMASTER ; MA at Western ,Kinesiology-Office of Director ,,Associate Professor/MD ,
"Willits,Kevin R. ",MD at MCMASTER ; MA at Western ,Surgery ,,Associate Professor/MD ,
"Willson,Andrea E. ",BA Virginia Tech; Ph.D. Florida State; ,Sociology ,,Associate Professor ,
"Wilson,Barbara Mae ","BScN, MScN ; ",Nursing ,,Adjunct Assistant Professor ,
"Wilson,Carolyn Ann ","BA, Western; MEd. Univ of Toronto ",Education - Preservice Office ,,Lecturer ,
"Wilson,Dale Robert ",BSc MD at Western ,Family Medicine - General ,,Adjunct/MD ,
"Wilson,David E ",BA McGill; MA London; Ph.D. Cincinnati; ,Classical Studies ,,Associate Professor ,
"Wilson,Jessie ",BA Western; MED Univ of Torontooronto ,Occupational Therapy ,,Lecturer ,
"Wilson,John ","BSc, MSc Dublin; MSc, Ph.D. Carneigie-Mellon; ",Business - Associate Dean ,,Professor ,
"Wilson,Kathi ",BSc McMaster; BA Western ,Obstetrics & Gynaecology ,,Lecturer ,
"Wilson,Reuel K ",BA Harvard; MA California(Berkeley); Ph.D. Chicago; ,Modern Languages & Literatures ,,Professor Emeritus ,
"Wilson,Robert J. ",MD at DALHOUSIE ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Wilson,Tania ","BS, MD Western ",Family Medicine - General ,,Adjunct/MD ,
"Wilson,Tim Dale ",MSc Ph.D. at Western ; BSc at WATERLOO ,Anatomy & Cell Biology ,,Assistant Professor ,
"Winder,Gordon C ","BSc ; MSc, Ph.D. Cornell; ",Earth Sciences ,,Professor Emeritus ,
"Winger,Michael John ",FRCPCan BSc MD at MANITOBA ,Clinical Neurological Science/Schulich - Education Office ,,Adjunct/MD ,
"Winquist,Eric ",BMSc MD at ALBERTA ; MSc at MCMASTER ; FRCPCan FRCPCan at TORONTO ,Oncology/Surgery ,,Professor/MD ,
"Wintrobe,Ronald S ","BA Manitoba; MA, Ph.D. Toronto; ",Economics ,,Professor ,
"Wirick,Ron G ",BA Wooster; MA Yale; Ph.D. Western; ,Business - Associate Dean ,,Professor Emeritus ,
"Wiseman,Daniele ",FRCPCan BSc at CAPE BRETON ; MD at MEMORIAL ,Department of Medical Imaging ,,Assistant Professor/MD ,
"Wisenberg,Gerald ",FRCPCan MD at TORONTO ,Medical Biophysics/Department of Medical Imaging/Departm ,,Professor/MD ,
"Wisner,James A ","BA Ontario, Ph.D. U of Windsor ",Chemistry ,,Associate Professor ,
"Witheford,Nick ","BA, MA, Ph.D. Simon Fraser; ",Info & Media Studies - General ,,Associate Professor ,Associate Dean (Acad Programs) 
"Witte,Jane Elizabeth ",BA Ontario ,Education - Office of the Dean ,,Lecturer ,
"Wlodarz,Joseph ","BA, MA Iowa; Ph.D. Rochester ",Film Studies ,,Associate Professor ,
"Wolfe,Bernard M ","BA Saskatchewan; BA, MBBCh, MA Oxford; MSc McGill; FRCPCan ",Department of Medicine ,,Professor Emeritus ,
"Wolfe,Dalton Louis ",Ph.D. at Western ; BS MS at WATERLOO ,School of Health Studies ,,Assistant Professor ,
"Wolfe,David ","BA, Ph.D. USA ",Education - Office of the Dean ,,Professor ,
"Wolff,Dianne ",MSC Western ,Nursing ,,Lecturer ,
"Wolff,Victoria ",BA University of North Carolina at Chapel Hill; MA University of New Mexico; Ph.D. McGill ,Modern Languages & Literatures ,,Assistant Professor ,
"Wolske,Zackary ","B.Sc. (Honr) and M.Sc., Western ",Mathematics ,,Assistant Professor ,
"Wong,Carol A ","RN, BScN, MScN; ",Nursing ,,Associate Professor ,
"Wong,Eric K W ",MD CCFP MCISc (FM) ,Family Medicine/Schulich - Education Office ,,Assistant Professor/MD ,
"Wong,Eugene ",BSc Washington; Ph.D. Pennsylvania ,Medical Biophysics/Oncology ,,Associate Professor ,
"Wong,Eugene ",BSc Washington; Ph.D. Pennsylvania ,Physics and Astronomy ,,Associate Professor ,
"Wong,Frank G ",MD Western ,Family Medicine - General ,,Adjunct/MD ,
"Wong,George K ",MBBS U of Sydney Australia ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Wonnacott,Ronald J. ","BA Western; AM, Ph.D. Harvard; FRSC; ",Economics ,,Professor Emeritus ,
"Wood-Jackson,Jennifer L ","BA Queen's, Ph.D. Western ",Nursing ,,Assistant Professor ,
"Wood,Albert R ","BA Ontario, Professional USA ",Business - Associate Dean ,,Professor Emeritus ,
"Wood,David ",HBA Western ,Business - Associate Dean ,,Lecturer ,
"Wood,Diana Lesley ",BA/MA Ontario ,Classical Studies ,,Lecturer ,
"Wood,Eric Frederick ","BSc, MEng ; Ph.D. Michigan State; ",Education - Continuing Educ ,,Professor Emeritus ,
"Wood,Jeffrey T ","BASC, MASc, Waterloo; Ph.D., McMaster; P.Eng. ",Mechanical & Materials ,,Professor ,Associate Chair 
"Wood,Kelly L ","Diploma, Emily Carr, MFA UBC ",Visual Arts ,,Associate Professor ,
"Wood,Robert ","BEd, BMUS, MMUS Toronto; Ph.D. Michigan State; ",Music - Office of the Dean ,,Associate Professor ,
"Wood,Vivian ",,Health Sciences- Dean's Office ,,Professor Emeritus ,
"Woodall,Robert J ",MD at TORONTO ; BSc at WINDSOR ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Woodbury,M. Gail ","Bachelors, phD Canada ",Physical Therapy ,,Assistant Professor ,
"Woodford,Paul G ","BEd, BMUS Toronto; MMUS ; Ph.D. Northwestern; ",Music - Office of the Dean ,,Professor ,
"Woodman,Ross G. ",BA British Columbia; MA Manitoba; Ph.D. Toronto; ,English ,,Professor Emeritus ,
"Woods,Anita ",BSc Ph.D. at Western ,Physiology and Pharmacology ,,Assistant Professor ,
"Woods,Leslie ","BScN, McMaster Univ ",Nursing ,,Lecturer ,
"Woodward,Servanne ",BA Aix-en-Provence; DEAIIIe Paris X; MA Aix-en- Provence; MA Michigan; Ph.D. Wisconsin; ,French Studies ,,Associate Professor ,
"Woodwark,Meredith Jacqueline ","BA, Dalhousie Univ, NS; MBA, UBC ",Bachelor of Mgmt & Org Studies ,,Lecturer ,
"Woolfrey,Karen G ",BSc/MD Memorial Univ of NF ,Department of Medicine ,,Associate Professor/MD ,
"Woolhouse,Susan Jennifer ",BS McMaster univ; MD Western ,Family Medicine - General ,,Adjunct/MD ,
"Workentin,Mark Steven ","BSc, Ph.D. McMaster; USC Undergraduate Award in Excellence of Teaching (1998), The Marilyn Robinson Award for Excellence of Teaching (2002), USC Undergraduate Award in Excellence of Teaching (2002), OCUFA Teaching Award (2002); ",Chemistry ,,Professor ,
"Workman,Allan James ",MSW Univ of Toronto; BA Western ,Psychiatry ,,Lecturer ,
"Worsfold,Wendy ",,Communicative Sci & Disorders ,,Adjunct Clinical Professor ,
"Wren,Jungsook ","BA Republic of Korea, Ph.D. Kansas Stat U USA ",Chemistry ,,Professor ,
"Wright,Adrian ",Certificate Royal Academy of Music GBR ,Music - Performance Studies/Music - Education ,,Lecturer ,
"Wright,Cecil V ",MD; FRCSCan ,Obstetrics & Gynaecology ,,Clinical Professor Emeritus ,
"Wright,Kenneth ",BComm DDS at MCGILL ,Dental Clinics ,,Adjunct Clinical Professor ,
"Wright,Mary J ","BA, LLD ; LLD Brock, Carleton, Concordia; MA, Ph.D. Toronto; ",Psychology ,,Professor Emeritus ,
"Wright,Ruth ","BA, Ph.D. U of Wales Institute GBR ",Music - Office of the Dean ,,Associate Professor ,Department Chair 
"Wu,Hua Laura ","BA China, Ph.D. Ontario ",Modern Languages & Literatures ,,Adjunct Associate Professor ,
"Wuest,Judith A ","BS (Nursing) Univ of Toronto, Ph.D. Wayne State Univ ",Nursing ,,Adjunct Professor ,
"Wurman,Joshua ",,Civil & Environmental ,,Adjunct Research Professor ,
"Wyllie,Blair Frederick ",FRCPCan at CALGARY ; BSc at Queen's ; MD FRCPCan at Western ,Department of Medicine ,,Assistant Professor/MD ,
"Wynant,Larry ",BA Manitoba; DBA Harvard; MBA Western; ,Business - Associate Dean ,,Professor ,
"Wysocki,George P ","BSc, DDS Alberta; Ph.D. North Carolina; FRCDC ",Pathology ,,Professor Emeritus ,
"Xenocostas,Anargyros ",BSc MD at MCGILL ; FRCPCan at TORONTO ,Oncology ,,Associate Professor/MD ,
"Xiao,Lu ","BEng Hunan unif China, Ph.D. Pennsylvania St Univ ",Info & Media Studies - General ,,Assistant Professor ,
"Xie,Bin ",BEng MEng at HUAZHONG ; Ph.D. at VANDERBILT ,Epidemiology and Biostatistics/Obstetrics & Gynaecology ,,Assistant Professor ,
"Xu,Chunbao Charles ","BSc East China Inst of Metalo, Ph.D. Ontario ",Chemical &Biochem Engineering/The Institute of Chem & Fuels ,,Associate Professor ,
"Xu,Yanqing ",,Civil & Environmental ,,Adjunct Research Professor ,
"Xuan,Jian-wu ",BSc Shandong; MSc Shanghai; Ph.D. Institute National Agronomique de Paris-grignon ,Surgery ,,Professor Emeritus ,
"Yake,Marvin A ",FRCPCan MD at Queen's ,Department of Medicine ,,Associate Professor/MD ,
"Yamaguchi,Shintaro ","BA, Keio Univ, JAPAN; Ph.D. Univ of Wisconsin Madison, USA ",Economics ,,Adjunct Research Professor ,
"Yamashita,Cory ",BSc U of Manitoba; MD U of Manitoba ,Department of Medicine/Physiology and Pharmacology ,,Assistant Professor/MD ,
"Yammine,Nadine Vanessa ","MD, Univ of Ottawa; MS, Western ",Otolaryngology ,,Adjunct/MD ,
"Yan,Brian ",BS McMaster; MD U of Calgary ,Department of Medicine ,,Assistant Professor/MD ,
"Yan,Xinghao ","MS Purdue, Ph.D. Purdue ",Business - Associate Dean ,,Assistant Professor ,
"Yanchula,Catherine A ","BSCn, BA, Doctorate ",Schulich - Education Office/Schulich - Windsor Campus/Famil ,,Adjunct/MD ,Course Coordinator 
"Yanchus-Hibbard,Tina ","BMUS, MMUS Julliard; ",Music - Office of the Dean ,,Lecturer ,
"Yanful,Ernest K ",BSc SCIENCE TECHNOLOGY (Kumasi); MASc Windsor; Ph.D.; P.Eng. ,Civil & Environmental/Engineering WindEEE ,,Professor ,
"Yang,Jun ","BASc, MASc, Beijing; Ph.D., Alberta; ",Mechanical & Materials ,,Associate Professor ,
"Yang,Jun ","BASc, MASc, Beijing; Ph.D., Alberta; ",Surface Science ,,Assistant Professor ,
"Yang,Kaiping ",BSc at NORTHWESTERN ; Ph.D. at NOTTINGHAM ,Physiology and Pharmacology/Paediatrics/Obstetrics & Gyna ,,eProfessor ,
"Yang,Liju ","MD, Shandong Univ, CHN; Ph.D. Univ of Manchester, UK ",Clinical Biochemistry ,,Adjunct Assistant Professor ,
"Yang,Lisa Denise ","BSc, Professional Ontario ",Family Medicine - General ,,Adjunct/MD ,
"Yaniszewski,Mark ",BA Univ of Waterloo; Ph.D. Carleton Univ ,Political Science ,,Assistant Professor ,
"Yaremko,Brian ",FRCPCan BSc MD at ALBERTA ,Oncology ,,Assistant Professor/MD ,
"Yartsev,Viatcheslav ","MS, Ph.D. Moscow State Univ. ",Medical Biophysics/Oncology ,,Assistant Professor ,
"Yates,Adam Gordon ","BS, Univ of Guelph; MS, Western ",Geography ,,Assistant Professor ,
"Yates,Arthur Lansing ",Certificate Royal Academy of Music GBR ,Philosophy ,,Lecturer ,
"Yazdani,Amirnaser ","BSc, Iran; Ph.D., Toronto ",Electrical & Computer ,,Adjunct Research Professor ,
"Yazdani,Arjang ",BSc MD at MCMASTER ; FRCP at Western ,Surgery ,,Assistant Professor/MD ,Program Director 
"Ye,Yang ","MA Bucharest, Ph.D. Western ",Bachelor of Mgmt & Org Studies ,,Lecturer ,School Director 
"Yeager,Matthew G ","BA U of Berkeley, Ph.D. Carleton U ON ",Sociology ,,Adjunct Research Professor ,
"Yee,John ",MD at Western ,Family Medicine - General ,,Adjunct/MD ,
"Yee,Raymond ",FRCPCan BSc MD at ALBERTA ,Department of Medicine ,,Professor/MD ,
"Yemchuk,Bohdan Roman ","Professional, Bachelor, ON ",Family Medicine - General ,,Adjunct/MD ,
"Yeung,Ken ","BSc, Ph.D. Calgary; ",Biochemistry ,,Associate Professor ,
"Yeung,Ken ","BSc, Ph.D. Calgary; ",Chemistry ,,Associate Professor ,
"Yoo,John H ",FRCSCan FACS MD at TORONTO ,Oncology/Otolaryngology/ Schulich - Office of the Dean ,,Associate Professor/MD ,Department Chair 
"Yoshida,Dale ",,Music - Dance ,,Lecturer ,
"Yoshy,Catherine Susan ",MD at TORONTO ; BSc FRCPCan at Western ,Department of Medical Imaging ,,Associate Professor/MD ,
"Young-Ritchie,Carol Vanessa ","BSN, Western; MSN, Western ",Nursing ,,Assistant Professor ,
"Young,Archibald M ","BA, MA, Ph.D. Toronto; ",English ,,Professor Emeritus ,
"Young,Carl ","BA McGill; MA, Australian National University; Ph.D. London (Assist) ",History ,,Assistant Professor ,
"Young,G Bryan ",FRCPCan MD at SASKATCHEWAN ,Clinical Neurological Science ,,Professor/MD ,
"Young,Grant M ",Ph.D. UK ,Earth Sciences ,,Professor Emeritus ,
"Young,Robert A ","BA, MA McGill; DPHIL Oxford; ",Political Science ,,Professor ,
"Younker,Betty Anne ",Masters USA ,Music - Office of the Dean ,,Professor ,Dean 
"Younus,Jawaid J. ",FRCPCan MPH MS Boston; MD Panjab ,Oncology ,,Associate Professor/MD ,
"Yousif,Thair H ",MBChB LMCC FRCPCan ,Surgery/Schulich - Education Office ,,Adjunct/MD ,
"Youssef,Maged Ali ","BSc, MSc Ain-Shams; Ph.D., McMaster; P.Eng. ",Civil & Environmental ,,Associate Professor ,
"Youssef,Zobeidah ",DU Paris; LE_SL Lausanne; ,French Studies ,,Professor Emeritus ,
"Youssfi,Ziad ","B.Sc., Michigan State Univ; Ph.D., Michigan State Univ ",Electrical & Computer ,,Lecturer ,
"Yousuf,Junaid ","BS, Univ of Toronto; MD, Univ of Ottawa ",Oncology/Schulich - Education Office ,,Adjunct/MD ,
"Yovetich,William S ",BS SUNY(Buff); MA Western Michigan; Ph.D. ; ,Health Sciences- Dean's Office ,,Professor Emeritus ,
"Yu,Cabot ",BA McGill; MLIS UWO ,Info & Media Studies - General ,,Lecturer ,
"Yu,Edward ",BSc Ph.D. MDCM at MCGILL ,Oncology/Medical Biphysics ,,Associate Professor/MD ,
"Yu,Hao ",BSc Mining in China; MSc Hangzhao(China); Ph.D. Carleton; ,Statistics & Actuarial Science ,,Professor ,
"Yu,Pei ","BSc Shanghai Jiao Tong; MSc, Ph.D. Waterloo; ",Applied Mathematics ,,Professor ,
"Yuan,Xunhua ",BSc China; Ph.D. Sweden ,Medical Biophysics ,,Assistant Professor ,
"Yuan,Ze-Chun ","BS, Henan Univ, CHN; Ph.D. McMaster Univ ",Microbiology & Immunology ,,Adjunct Research Professor ,
"Yuen,Clement Ming-Kai ","BSc., Univ of Hong Kong; MESc., Western; Ph.D., Western ",Civil & Environmental ,,Lecturer ,
"Yuen,Doris ",FAAP Ph.D. at GUELPH ; FRCPCan at TORONTO ; BASc MD at UBC ,Paediatrics ,,Associate Professor/MD ,Program Director 
"Yuhasz,Mike S ","BA ; MS, Ph.D. Illinois; ",Health Sciences- Dean's Office ,,Professor Emeritus ,
"Zabel,Pamela L. ",MSc at ALBERTA ; BSc at TORONTO ,Department of Medical Imaging ,,Assistant Professor ,
"Zabulionis,Ray ",BS Western ,Department of Biology ,,Lecturer ,
"Zafar,Saira ",MBBS King Edward Medal Univ PAK ,Department of Medicine ,,Assistant Professor/MD ,
"Zahariadis,George ","BS, Univ of Toronto; MD, Univ of Toronto ",Pathology ,,Associate Professor/MD ,
"Zaher,Amjad ",MD at DAMASCUS ,Schulich - Education Office/Paediatrics ,,Adjunct/MD ,
