Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Baird,Norman C ","BSc, Ph.D. McGill; The University of Western Ontario Excellence in Teaching Award(1990), 3M Teaching Fellowship (1996) ; ",Chemistry ,,Professor Emeritus ,
"Bajura,Steven Wally ","BSc Honors, Wester; MSc., Western; DDS, Western ",Dentistry ,,Assistant Professor ,
"Baka,Richard Steven Paul ","BA, MA ; BPE McMaster; Ph.D. Alberta; ",Kinesiology-Office of Director ,,Professor ,
"Bakan,Jonathon ","BFA, MA, Ph.D. York ",Music - Research & Composition ,,Assistant Professor ,
"Baker,Sharon Louise ",MD at Western ,Family Medicine - General ,,Assistant Professor/MD ,
"Baker,Ted Read ","BA, MART Western ",First Nations Studies Program ,,Lecturer ,
"Balakrishnan,Tattamangalam R ","BA, MA Madras; Ph.D. Michigan; ",Sociology ,,Professor Emeritus ,
"Baldwin,Clark ","BS, MD Univ of Torontooronto ",Family Medicine - General ,,Adjunct/MD ,
"Ball,Edward J ","BSc Cleveland State Univ USA, Ph.D. U of Cincinnatti USA ",Pathology ,,Associate Professor ,
"Ball,Eric Howard ",BSc at ALBERTA ; Ph.D. at Western ,Biochemistry ,,Professor ,
"Ball,Jill M. ",BMUS Central Michigan; DMA Michigan State; MM Northwestern; ,Music - Office of the Dean ,,Assistant Professor ,
"Ball,Judith K ","BSc Mount Allison; MSc, Ph.D. Dalhousie ",Biochemistry ,,Professor Emeritus ,
"Ballagh,Robert Hamilton ",BSc MD at Western ,Otolaryngology ,,Adjunct/MD ,
"Ballantyne,James F. ",MD Toronto; FRCSCan ,Ophthalmology ,,Clinical Professor Emeritus ,
"Ballingall,David Low ",MbChB Glasgow Great Britain ,Oncology ,,Adjunct/MD ,
"Balsom,Rodney Velmore ","BA, Ph.D. Canada ",Psychology ,,Adjunct Clinical Professor ,
"Bancroft,G. Michael ","OC; BSc, MSc, Manitoba; Ph.D. Cantab; SCD ; ",Chemistry ,,Adjunct Research Professor/Professor Emeritus ,
"Bancroft,John B. ",Bachelors BC; Ph.D. USA ,Department of Biology ,,Professor Emeritus ,
"Banerjee,Neil R ","BSc UofT, MSc Dalhousie; Ph.D. Victoria ",Earth Sciences ,,Associate Professor ,
